Bank_idBank,Customer_idCustomer,hashedPin,local_transfer_limit,overseas_transfer_limit
0,0,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,1,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,2,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,3,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,4,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,5,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,6,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,7,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,8,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,9,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,10,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,11,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,12,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,13,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,14,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,15,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,16,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,17,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,18,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,19,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,20,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,21,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,22,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,23,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
0,24,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
1,25,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
2,26,03AC674216F3E15C761EE1A5E255F067953623C8B388B4459E13F978D7C846F4,1000,500
